Nome,Cor,Tipo,Subtitulo,Numero na coleção,Raridade,Sigla,Lingua,Ano,Artista,Empresa,Foil
Courier of Comestibles,Verde,Creature,Human Citizen,112,U,TMT,EN,2026,Mirko Failoni,Wizards of the Coast,Não
"Koya, Death from Above",Branco,Legendary Creature,Mutant Ninja Bird,11,U,TMT,EN,2026,Irina Nordsol,Wizards of the Coast,Não
Turtle Lair,Incolor,Land,,190,U,TMT,EN,2026,Marina Ortega Lorente,Wizards of the Coast,Não
Death in the Family,Preta,Instant,,61,U,TMT,EN,2026,Justyna Dura,Wizards of the Coast,Não
Quintessential Katana,Branco,Artifact,Equipament,23,U,TMT,EN,2026,Anthony Devine,Wizards of the Coast,Não
Bespoke Bo,Azul,Artifact,Equipament,31,U,TMT,EN,2026,Nathaniel Himawan,Wizards of the Coast,Não
Genghis Frog,Verde/Azul,Legendary Creature,Frog Mutant Rogue,148,U,TMT,EN,2026,Zoltan Boros,Wizards of the Coast,Não
TCRI Building,Azul/Vermelho,Land,,189,L,TMT,EN,2026,Aenami,Wizards of the Coast,Sim
Ice Cream Kitty,Preta/Verde,Artifact Creature,Food Cat Mutant,150,C,TMT,EN,2026,Mael Ollivier-Henry,Wizards of the Coast,Sim
Island,Azul,Basic Land,Island,192,L,TMT,EN,2026,Bemocs,Wizards of the Coast,Sim
Tenderize,Verde,Instant,,133,C,TMT,EN,2026,Jo Cordisco,Wizards of the Coast,Sim
Foot Ninjas,Branco/Preto,Creature,Human Ninja,209,C,TMT,EN,2026,Jim Cheung & Jay David Ramos,Wizards of the Coast,Não
"Raphael, Most Attitude",Vermelha,Legendary Creature,Mutant Ninja Turtle,199,U,TMT,EN,2026,Daniel Elson,Wizards of the Coast,Não
